anomaly_type,log_date,sched_time,video_source,type_code,title_raw,duration_seconds,details
rapid_repeat_asset,2026-03-06,02:56:18:00,701,GX,PROMO - LOWER-THIRD,628.0,Repeated within 120.0 seconds
rapid_repeat_asset,2026-03-06,05:58:20:00,701,GX,PROMO - LOWER-THIRD,629.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-06,05:58:49:29,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-06,11:57:24:29,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-06,11:57:54:29,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-06,12:27:49:25,701,GX,PROMO - LOWER-THIRD,629.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-06,12:28:09:24,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 20.0 seconds
rapid_repeat_asset,2026-03-06,12:59:37:27,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 237.8 seconds
rapid_repeat_asset,2026-03-06,13:59:08:05,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-06,13:59:38:05,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-06,18:58:48:29,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 20.0 seconds
rapid_repeat_asset,2026-03-06,19:57:35:00,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-06,19:59:04:28,701,GX,PROMO - LOWER-THIRD,629.0,Repeated within 89.9 seconds
rapid_repeat_asset,2026-03-06,19:59:34:27,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-06,21:59:35:25,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-07,00:57:38:29,701,GX,PROMO - LOWER-THIRD,629.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-07,00:58:08:28,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-07,01:57:35:00,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-07,01:59:35:00,701,GX,PROMO - LOWER-THIRD,628.0,Repeated within 120.0 seconds
rapid_repeat_asset,2026-03-07,02:58:05:00,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-07,02:58:35:00,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-07,13:28:31:03,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-07,17:29:34:29,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-08,23:24:40:26,1900,GX,WTIU 30.1 MAIN - PH GX,1009.0,Repeated within 602.9 seconds
rapid_repeat_asset,2026-03-08,23:51:28:25,1900,GX,WTIU 30.1 MAIN - PH GX,101.3,Repeated within 599.0 seconds
rapid_repeat_asset,2026-03-08,23:26:40:26,1,SI,WTIU 30.1 HD BUG,769.0,Repeated within 602.9 seconds
rapid_repeat_asset,2026-03-08,11:29:14:19,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 45.0 seconds
rapid_repeat_asset,2026-03-08,11:29:34:19,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 20.0 seconds
rapid_repeat_asset,2026-03-08,23:56:59:02,701,GX,PROMO - LOWER-THIRD,628.0,Repeated within 119.9 seconds
rapid_repeat_asset,2026-03-08,23:59:34:01,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 155.0 seconds
rapid_repeat_asset,2026-03-08,23:24:40:26,PRE_REC_10,GX,WTIU 30.1 - PREVIOUSLY RECORDED BUG - 10 SECO,1009.0,Repeated within 602.9 seconds
rapid_repeat_asset,2026-03-08,23:51:28:25,PRE_REC_10,GX,WTIU 30.1 - PREVIOUSLY RECORDED BUG - 10 SECO,101.3,Repeated within 599.0 seconds
rapid_repeat_asset,2026-03-08,23:57:00:02,TEXT,TX,COMING THIS MARCH,568.0,Repeated within 119.9 seconds
